/出現カウントカウント,移動パターン,敵の種類,ショットタイプ,x座標,y座標,スピード,体力,スタミナ,カウンタ,待機時間,ショットタイミング,ショットレベル
,int,string,string,Vector2f,Vector2f,int,int,int,int,int,int,int
/time,movePtn,"""string""","""string""",pos.x,pos.y,speed,HP,SP,cnt,wait,shotCnt,shotLevel
100,0,fish,Normal,130,60,3,1,1,0,120,60,1
120,1,fish,Normal,160,60,3,1,1,0,120,60,1
140,1,fish,Normal,190,60,3,1,1,0,120,60,1
160,1,fish,Normal,220,60,3,1,1,0,120,60,1
180,1,fish,Normal,250,60,3,1,1,0,120,60,1
200,3,fish,Normal,100,60,3,1,1,0,720,60,1
220,3,fish,Normal,70,60,3,1,1,0,720,60,1
600,0,gusokun,,250,60,5,700,250,0,120,60,30
